# key<TAB>en<TAB>ja<TAB>ko — zh comes from module TSVs; missing/untranslated keys fall back to zh.
settings_language	Language	言語	언어
chat_memory_source_manual	Maintained manually	ユーザーが手動で管理	사용자가 직접 관리
chat_correct	Correct	修正	수정
chat_memory_delete	Delete	削除	삭제
chat_memory_close	Close	閉じる	닫기
chat_retry_pending	Retry pending	未処理を再試行	대기 중 재시도
chat_backfill_history	Backfill history	履歴を補完	기록 보완
chat_backfill_title	Backfill memory	履歴記憶を補完	기록 기억 보완
chat_backfill_message	About %1$d character replies in this chat will be processed, requiring at least %2$d memory-model requests. Re-extraction replaces current memories and may incur model costs.	このセッションの約%1$d件のキャラクター応答を処理します。記憶モデルへのリクエストは最低%2$d回と予想されます。再抽出は現在の記憶を置き換え、モデル費用がかかる場合があります。	이 대화의 캐릭터 응답 약 %1$d개를 처리하며, 기억 모델 요청이 최소 %2$d회 필요할 수 있습니다. 다시 추출하면 현재 기억을 대체하며 모델 비용이 발생할 수 있습니다.
chat_start_backfill	Start backfill	補完を開始	보완 시작
chat_memory_cancel	Cancel	キャンセル	취소
chat_rebuild_vectors_message	The vector API will be called for about %1$d memories; this may incur costs.	約%1$d件の記憶についてベクトルAPIを呼び出します。費用がかかる場合があります。	약 %1$d개의 기억에 대해 벡터 API를 호출합니다. 비용이 발생할 수 있습니다.
chat_start	Start	開始	시작
chat_correct_memory_title	Correct memory	記憶を修正	기억 수정
chat_content_label	Content	内容	내용
chat_memory_save	Save	保存	저장
chat_image_generation_title	Generate Image	画像を生成	이미지 생성
chat_engine_label	Image engine	画像エンジン	이미지 엔진
chat_view_last_diagnostic	View last summary diagnostics	最後の要約診断を表示	마지막 요약 진단 보기
chat_engine_not_configured	(not configured)	（未設定）	(미설정)
chat_summarize_scene	Summarize current scene with AI	AIで現在のシーンを要約	AI로 현재 장면 요약
chat_positive_prompt	Positive prompt	ポジティブプロンプト	긍정 프롬프트
chat_summarize_scene_hint	An image prompt will be generated automatically from the recent context of this chat.	このセッションの最近のコンテキストから画像プロンプトを自動生成します。	이 대화의 최근 맥락에서 이미지 프롬프트가 자동 생성됩니다.
chat_negative_prompt	Negative prompt (optional)	ネガティブプロンプト（任意）	부정 프롬프트(선택 사항)
chat_generate	Generate	生成	생성
chat_image_gen_cancel	Cancel	キャンセル	취소
chat_select_character	Select character	キャラクターを選択	캐릭터 선택
chat_no_characters	No characters	キャラクターがいません	캐릭터가 없습니다
chat_import_hint	Import a character card on the Characters page first.	先に「キャラクター」ページでキャラカードをインポートしてください。	먼저 "캐릭터" 페이지에서 캐릭터 카드를 가져오세요.
chat_character_card_interface	Character card view	キャラカード画面	캐릭터 카드 화면
chat_close_character_card_interface	Close character card view	キャラカード画面を閉じる	캐릭터 카드 화면 닫기
chat_previous_page	Previous	前のページ	이전 페이지
chat_next_page	Next	次のページ	다음 페이지
nav_tab_chat	Chat	チャット	채팅
nav_tab_characters	Characters	キャラクター	캐릭터
nav_tab_world	World Books	ワールドブック	월드북
nav_tab_extensions	Extensions	拡張	확장
nav_tab_settings	Settings	設定	설정
nav_preset_limit_title	Please check your current generation preset	現在の生成プリセットを確認してください	현재 생성 프리셋을 확인하세요
nav_preset_limit_message	The legacy default preset caps context at only 4096 and output at 300, which can badly truncate world books and replies. The new built-in defaults are 1,000,000 / 131,072. Imported or manually edited presets are never overwritten — go to "Settings → Generation Presets" to switch or review the current preset.	旧デフォルトプリセットはコンテキスト上限4096・出力上限300しかなく、ワールドブックや応答が大きく切り詰められる可能性があります。新版の内蔵デフォルトは1,000,000 / 131,072に調整済みです。インポートまたは手動変更したプリセットは強制上書きされません。「設定 → 生成プリセット」から切り替え・確認してください。	기존 기본 프리셋은 컨텍스트上限 4096, 출력上限 300으로 월드북과 응답이 크게 잘릴 수 있습니다. 새 기본값은 1,000,000 / 131,072로 조정되었습니다. 가져오거나 직접 수정한 프리셋은 강제로 덮어쓰지 않으니 "설정 → 생성 프리셋"에서 확인하세요.
nav_later	Later	後で	나중에
nav_go_to_preset_settings	Open preset settings	プリセット設定へ	프리셋 설정으로 이동
nav_qq_group_title	Join our QQ group	QQグループに参加	QQ 그룹 참여
nav_qq_qrcode_desc	QQ group QR code	QQグループQRコード	QQ 그룹 QR 코드
nav_qq_group_number	Group: 754350480	グループ番号：754350480	그룹 번호: 754350480
nav_qq_group_hint	Scan the code or search the group number to join — share feedback and tips.	QRコードをスキャンするかグループ番号で検索して参加してください。不具合報告や情報交換にどうぞ。	QR코드를 스캔하거나 그룹 번호를 검색해 참여하세요. 피드백과 정보 교환 환영합니다.
nav_got_it	Got it	OK	알겠습니다
nav_group_number_copied	Group number copied	グループ番号をコピーしました	그룹 번호가 복사되었습니다
nav_copy_group_number	Copy group number	グループ番号をコピー	그룹 번호 복사
nav_update_title	New version available	新しいバージョンがあります	새 버전이 있습니다
nav_update_message	New version %1$s is available (current: v%2$s).	新バージョン%1$sがリリースされました（現在：v%2$s）。	새 버전 %1$s이(가) 출시되었습니다. 현재 버전: v%2$s.
nav_update_apk_size	Download is about %1$s MB	ダウンロードは約%1$s MBです	설치 파일은 약 %1$s MB입니다
nav_update_now	Update now	今すぐアップデート	지금 업데이트
nav_update_download_started	Downloading new version...	新バージョンをダウンロード中…	새 버전 다운로드 중…
ui_placeholder_message	Architecture entry point ready; features live in their own modules.	アーキテクチャのエントリポイントです。機能は各モジュールに実装します。	아키텍처 진입점이 준비되었습니다. 기능은 각 모듈에 구현합니다.
chatvm_recover_unsaved	Unsaved changes were recovered from the last saved session	保存できなかった変更を復元し、最後に保存したセッションに戻しました	저장되지 않은 변경 사항이 마지막 저장 세션으로 복구되었습니다
chatvm_reread_character_failed	Failed to re-read character card: %1$s	キャラカードの再読み込みに失敗しました：%1$s	캐릭터 카드 다시 읽기 실패: %1$s
chatvm_reread_preset_failed	Failed to re-read preset: %1$s	プリセットの再読み込みに失敗しました：%1$s	프리셋 다시 읽기 실패: %1$s
chatvm_reread_worldbook_failed	Failed to re-read world book: %1$s	ワールドブックの再読み込みに失敗しました：%1$s	월드북 다시 읽기 실패: %1$s
chatvm_reread_persona_failed	Failed to re-read persona: %1$s	ペルソナの再読み込みに失敗しました：%1$s	페르소나 다시 읽기 실패: %1$s
chatvm_reread_provider_failed	Failed to re-read provider config: %1$s	プロバイダー設定の再読み込みに失敗しました：%1$s	공급자 구성 다시 읽기 실패: %1$s
chatvm_read_session_state_failed	Failed to read session commit state: %1$s	セッションのコミット状態の読み取りに失敗しました：%1$s	세션 커밋 상태 읽기 실패: %1$s
chatvm_load_data_failed	Failed to load data: %1$s	データの読み込みに失敗しました：%1$s	데이터 로드 실패: %1$s
chatvm_load_character_failed	Failed to load character: %1$s	キャラクターの読み込みに失敗しました：%1$s	캐릭터 로드 실패: %1$s
chatvm_close_session_failed	Failed to close session: %1$s	セッションを閉じるのに失敗しました：%1$s	세션 닫기 실패: %1$s
chatvm_create_session_failed	Failed to create session: %1$s	セッションの作成に失敗しました：%1$s	세션 생성 실패: %1$s
chatvm_save_memory_mode_failed	Failed to save memory mode: %1$s	記憶モードの保存に失敗しました：%1$s	기억 모드 저장 실패: %1$s
chatvm_memory_rebuild_failed	Backfill failed: %1$s	補完に失敗しました：%1$s	보완 실패: %1$s
chatvm_memory_retry_failed	Memory retry failed: %1$s	記憶の再試行に失敗しました：%1$s	기억 재시도 실패: %1$s
chatvm_memory_correct_failed	Failed to update memory: %1$s	記憶の修正に失敗しました：%1$s	기억 수정 실패: %1$s
chatvm_memory_vectors_failed	Vector update failed: %1$s	ベクトルの更新に失敗しました：%1$s	벡터 업데이트 실패: %1$s
chatvm_memory_resume_failed	Failed to resume memory: %1$s	記憶の再開に失敗しました：%1$s	기억 재개 실패: %1$s
chatvm_switch_session_failed	Failed to switch session: %1$s	セッションの切り替えに失敗しました：%1$s	세션 전환 실패: %1$s
chatvm_cleanup_images_failed	Failed to clean up message images: %1$s	メッセージ画像のクリーンアップに失敗しました：%1$s	메시지 이미지 정리 실패: %1$s
chatvm_delete_session_failed	Failed to delete session: %1$s	セッションの削除に失敗しました：%1$s	세션 삭제 실패: %1$s
chatvm_deleted_cleanup_failed	Session deleted, but cleanup did not finish: %1$s	セッションは削除されましたが、クリーンアップが完了していません：%1$s	세션은 삭제되었지만 정리가 완료되지 않았습니다: %1$s
chatvm_deleted_refresh_failed	Session deleted, but refreshing the session list failed: %1$s	セッションは削除されましたが、セッション一覧の更新に失敗しました：%1$s	세션은 삭제되었지만 세션 목록 새로 고침에 실패했습니다: %1$s
chatvm_delete_image_failed	Failed to delete image: %1$s	画像の削除に失敗しました：%1$s	이미지 삭제 실패: %1$s
chatvm_load_preset_failed	Failed to load preset: %1$s	プリセットの読み込みに失敗しました：%1$s	프리셋 로드 실패: %1$s
chatimgco_engine_not_configured	Image model is not configured. Set up a ComfyUI workflow or enter a NovelAI token in Settings first	生図モデルが未設定です。先に設定でComfyUIワークフローを設定するか、NovelAIトークンを入力してください	이미지 모델이 구성되지 않았습니다. 먼저 설정에서 ComfyUI 워크플로를 구성하거나 NovelAI 토큰을 입력하세요
chatimgco_busy_generating_text	A reply is being generated. Wait for it to finish before generating images	返信を生成中です。返信が完了してから画像を生成してください	답변을 생성 중입니다. 답변이 끝난 후 이미지를 생성하세요
chatimgco_select_character_first	Select a character first	先にキャラクターを選択してください	먼저 캐릭터를 선택하세요
chatimgco_no_session	No active session	利用可能なセッションがありません	사용 가능한 세션이 없습니다
chatimgco_prompt_required	Enter an image prompt	画像プロンプトを入力してください	이미지 프롬프트를 입력하세요
chatimgco_status_preparing	Preparing to generate image...	画像生成を準備中…	이미지 생성 준비 중…
chatimgco_status_summarizing	Summarizing the scene with the chat model...	対話モデルでシーンを要約中…	대화 모델로 장면 요약 중…
chatimgco_status_novelai_generating	Calling NovelAI to generate image...	NovelAIで画像を生成中…	NovelAI로 이미지 생성 중…
chatimgco_status_generating	Generating image...	画像を生成中…	이미지 생성 중…
chatimgco_select_engine	Select an image engine	画像エンジンを選択してください	이미지 엔진을 선택하세요
chatimgco_engine_unconfigured_detail	%1$s is not configured. Finish its setup in Settings first	%1$sが未設定です。先に設定で構成を完了してください	%1$s이(가) 구성되지 않았습니다. 먼저 설정에서 구성을 완료하세요
chatimgco_generate_failed_code	Image generation failed: %1$s (%2$s)	画像生成に失敗しました：%1$s（%2$s）	이미지 생성 실패: %1$s(%2$s)
chatimgco_generate_failed_no_data	Image generation failed: no image data was returned	画像生成に失敗しました：画像データが返されませんでした	이미지 생성 실패: 이미지 데이터가 반환되지 않았습니다
chatimgco_generate_failed	Image generation failed: %1$s	画像生成に失敗しました：%1$s	이미지 생성 실패: %1$s
chatgenco_select_character_first	Select a character first	先にキャラクターを選択してください	먼저 캐릭터를 선택하세요
chatgenco_no_session	No active session	利用可能なセッションがありません	사용 가능한 세션이 없습니다
chatgenco_regen_last_only	Only the latest character reply can be regenerated	再生成できるのは最後のキャラクター応答のみです	마지막 캐릭터 응답만 다시 생성할 수 있습니다
chatgenco_regen_input_missing	The user message for this reply could not be found	この応答に対応するユーザーメッセージが見つかりません	이 응답에 해당하는 사용자 메시지를 찾을 수 없습니다
chatgenco_empty_reply	Generation failed: the provider returned no valid reply (gateway/relay error or content block)	生成に失敗しました：プロバイダーから有効な応答がありません（ゲートウェイ/中継のエラー、またはコンテンツブロックの可能性）	생성 실패: 공급자가 유효한 응답을 반환하지 않았습니다(게이트웨이/중계 오류 또는 콘텐츠 차단일 수 있습니다)
chatgenco_memory_process_failed	Memory processing failed: %1$s	記憶の整理に失敗しました：%1$s	기억 처리 실패: %1$s
chatgenco_generate_failed	Generation failed: %1$s	生成に失敗しました：%1$s	생성 실패: %1$s
chatgenco_error_generic	Something went wrong: %1$s	エラーが発生しました：%1$s	오류가 발생했습니다: %1$s
chatrt_recover_state_failed	Failed to recover unsaved session state: %1$s	未保存のセッション状態の復元に失敗しました：%1$s	저장되지 않은 세션 상태 복구 실패: %1$s
chatrt_variable_save_paused	Variable save failed; generation paused: %1$s	変数の保存に失敗したため、生成を一時停止しました：%1$s	변수 저장 실패로 생성이 일시 중지되었습니다: %1$s
chatrt_edit_not_committed	Message edit was not committed: %1$s	メッセージの編集がコミットされませんでした：%1$s	메시지 수정이 커밋되지 않았습니다: %1$s
chatrt_update_incomplete	Message update did not complete: %1$s	メッセージの更新が完了しませんでした：%1$s	메시지 업데이트가 완료되지 않았습니다: %1$s
chatrt_extension_flush_failed	Failed to finalize extension writes: %1$s	拡張機能の書き込みの終了処理に失敗しました：%1$s	확장 쓰기 마무리 실패: %1$s
chatrt_session_release_failed	Failed to finalize session writes: %1$s	セッション書き込みの終了処理に失敗しました：%1$s	세션 쓰기 마무리 실패: %1$s
chatrt_session_unregister_failed	Failed to clean up session writes: %1$s	セッション書き込みのクリーンアップに失敗しました：%1$s	세션 쓰기 정리 실패: %1$s
chatrt_exit_pending_writes	There are unfinished writes on exit: %1$s	終了時に未完了の書き込みがあります：%1$s	종료 시 완료되지 않은 쓰기가 있습니다: %1$s
chtav_script_load_failed	Failed to load character card script: %1$s	キャラカードスクリプトの読み込みに失敗しました：%1$s	캐릭터 카드 스크립트 로드 실패: %1$s
chassets_image_decode_failed	Could not decode the image	画像をデコードできませんでした	이미지를 디코딩할 수 없습니다
chassets_set_background_failed	Failed to set chat background: %1$s	チャット背景の設定に失敗しました：%1$s	채팅 배경 설정 실패: %1$s
chassets_clear_background_failed	Failed to clear chat background: %1$s	チャット背景のクリアに失敗しました：%1$s	채팅 배경 지우기 실패: %1$s
updvm_check_failed	Update check failed	更新の確認に失敗しました	업데이트 확인 실패
updvm_download_failed	Download failed: %1$s	ダウンロードに失敗しました：%1$s	다운로드 실패: %1$s
updchk_channel_official	Standard	正式版	정식판
updchk_channel_mnn	Image Gen (MNN)	画像生成版	이미지 생성판
updchk_channel_release_missing	No release found for the %1$s channel	%1$sチャンネルのリリースが見つかりません	%1$s 채널의 릴리스를 찾을 수 없습니다
updchk_channel_apk_missing	No APK asset found for the %1$s channel	%1$sチャンネルのAPKアセットが見つかりません	%1$s 채널의 APK 자산을 찾을 수 없습니다
updchk_empty_response_body	Empty response body	空のレスポンスボディ	빈 응답 본문
updchk_apk_checksum_failed	APK checksum verification failed	APKのチェックサム検証に失敗しました	APK 체크섬 검증 실패
updchk_download_failed	Download failed	ダウンロードに失敗しました	다운로드 실패
comfy_status_connected	Connected	接続済み	연결됨
