extcompat_ejs_title	EJS 提示词模板设置
extcompat_th_opt_better_load_title	更好的消息加载
extcompat_th_opt_better_load_subtitle	优化消息加载性能
extcompat_th_opt_better_update_title	更好的角色更新
extcompat_th_opt_better_update_subtitle	优化角色更新流程
extcompat_th_opt_better_export_title	更好的角色导出
extcompat_th_opt_better_export_subtitle	优化角色导出流程
extcompat_th_opt_better_delete_title	更好的角色删除
extcompat_th_opt_better_delete_subtitle	优化角色删除流程
extcompat_th_opt_worldbook_title	推荐世界书设置
extcompat_th_opt_worldbook_subtitle	强制应用推荐的世界书全局设置
extcompat_th_opt_max_context_title	最大化预设上下文长度
extcompat_th_opt_max_context_subtitle	自动最大化预设的上下文长度
extcompat_section_render	渲染
extcompat_th_render_enable_title	启用渲染
extcompat_th_render_enable_subtitle	启用消息渲染增强
extcompat_th_render_streaming_title	允许流式渲染
extcompat_th_render_streaming_subtitle	在流式生成时实时渲染
extcompat_th_render_blob_title	使用 Blob URL
extcompat_th_render_blob_subtitle	使用 Blob URL 加载资源
extcompat_th_render_hljs_title	优化 highlight.js
extcompat_th_render_hljs_subtitle	优化代码高亮性能
extcompat_th_render_depth_hidden_title	深度忽略隐藏
extcompat_th_render_depth_hidden_subtitle	渲染深度计算时忽略隐藏消息
extcompat_th_render_stats	代码块折叠: %1$s  渲染深度: %2$d
extcompat_section_macro	宏
extcompat_th_macro_enable_title	启用宏增强
extcompat_th_macro_enable_subtitle	启用扩展宏功能
extcompat_debug_title	%1$s · 调试
extcompat_status_loaded	运行状态：已加载
extcompat_status_not_loaded	运行状态：未加载
extcompat_last_event	最近事件：%1$s
extcompat_last_error	最近错误：%1$s
extcompat_final_prompt	最终提示词
extcompat_clear	清除
extcompat_prompt_empty_hint	尚未收到生成链路上报。完成一次实际生成后，这里才会显示发送给模型的消息与诊断；当前界面不会自行重建或猜测提示词。
extcompat_prompt_stats	消息 %1$d · 估算 Token %2$s · 激活世界书 %3$d
extcompat_unknown	未知
extcompat_diag_warnings	诊断警告
extcompat_activated_entries	激活条目：%1$s
extcompat_runtime_logs	运行日志
extcompat_logs_empty_hint	暂无日志。这里只显示 extension_log 与真实加载/卸载事件。
ext_title	扩展
ext_refresh_cd	刷新
ext_builtin_header_title	内置兼容模块
ext_builtin_header_subtitle	这些模块随 APK 提供，不需要用户进入目录安装。
ext_asset_header_title	角色卡附带资源
ext_asset_header_subtitle	导入角色卡后，世界书、正则和酒馆助手数据会自动登记在这里。
ext_permission_dialog_title	扩展权限请求
ext_permission_dialog_body	扩展 %1$s 请求 %2$s 权限。仅在你信任该脚本时允许。
ext_permission_allow	允许
ext_permission_deny	拒绝
ext_settings_cd	设置
ext_debug_button	调试
ext_last_error	最近错误：%1$s
ext_auto_enable_chip	自动启用
ext_asset_id	ID: %1$s
ext_worldbook_none	世界书 0
ext_worldbook_imported	世界书 已导入
ext_regex_count	正则 %1$d
ext_th_scripts_count	酒馆助手脚本 %1$d
ext_data_count	变量数据 %1$d
ext_regex_scripts_header	正则脚本（%1$d）
ext_collapse	收起
ext_expand	展开
ext_asset_empty_title	还没有角色卡附带资源
ext_asset_empty_hint	导入包含世界书、正则或酒馆助手脚本的角色卡后，会自动显示在这里。
extvm_load_failed	加载扩展资源失败：%1$s
extvm_manifest_not_found	未找到扩展清单：%1$s
extvm_client_version_too_low	扩展 %1$s 要求客户端版本 ≥ %2$s，当前 tellev 版本更低
extvm_toggle_failed	扩展切换失败：%1$s
extvm_regex_script_not_found	未找到正则脚本：%1$s
extvm_regex_toggle_failed	更新正则开关失败：%1$s
extvm_permission_request_failed	权限请求处理失败：%1$s
extvm_builtin_th_name	酒馆助手兼容
extvm_builtin_th_desc	SillyTavern 事件总线、getContext、TavernHelper、fetch /api/* 桥与角色卡脚本运行
extvm_builtin_regex_name	角色卡正则
extvm_builtin_regex_desc	自动读取并应用角色卡内嵌 regex_scripts
extvm_builtin_worldbook_name	角色卡世界书
extvm_builtin_worldbook_desc	自动导入 character_book 并随角色注入提示词
extvm_builtin_ejs_name	EJS 提示词模板
extvm_builtin_ejs_desc	在提示词和角色卡中使用 EJS 模板语法（<%= ... %>），支持动态生成与注入
extvm_perm_webview	WebView
extvm_perm_character_assets	角色资源
extvm_perm_virtual_api	虚拟 API
extvm_perm_chat_display	聊天显示
extvm_perm_prompt	提示词
extvm_perm_worldbook	世界书
extvm_perm_variables	变量
extmem_title	长期记忆
extmem_subtitle	内置可开关模块；关闭时暂停所有对话的提取与注入，已有记忆保留。
extmem_open_settings	模型与检索设置
extmem_model_section_title	记忆整理模型
extmem_model_section_subtitle	与聊天模型、生成预设分开配置。未配置时不自动使用聊天模型。
extmem_existing_connection	已有连接
extmem_model_name_label	记忆模型名（留空沿用连接设置）
extmem_custom_base_url_label	独立 API 地址
extmem_custom_api_key_label	独立 API Key
extmem_custom_model_label	独立模型名
extmem_vector_toggle_title	向量检索（可选）
extmem_vector_hint	向量接口使用 OpenAI 兼容的 /embeddings。失败时继续用本地检索；启用后查询可能产生额外费用。
extmem_existing_vector_connection	已有向量连接
extmem_vector_base_url_label	向量 API 地址
extmem_vector_api_key_label	向量 API Key
extmem_vector_model_label	向量模型名（已有连接可覆盖）
extmem_vector_path_label	向量接口路径
extmem_save_button	保存设置
extmem_selector_label	%1$s：%2$s
extmem_custom_entry	单独填写
extdbg_loaded	扩展已加载
extdbg_unloaded	扩展已卸载
extdbg_load_failed	扩展加载失败
